Service_Area,Bharti_Airtel,Reliance_Jio,Vodafone_Idea,BSNL,MTNL,Total_Subscribers,Urban_Subscribers,Rural_Subscribers
Andhra Pradesh,38642976,32224617,8839537,7489676,0,87196806,50000000,37196806
Assam,14786568,10015219,1480568,2928181,0,29210536,15000000,14210536
Bihar,49486508,44998130,7417265,5626979,0,107528882,50000000,57528882
Delhi,38960542,20434815,16095501,133080,0,75623940,65000000,10623940
Gujarat,15664281,32899907,19559053,3290591,0,71413833,45000000,26413833
Haryana,7854741,8220268,6231180,4509472,0,26815661,20000000,6815661
Himachal Pradesh,3630477,3590215,393644,1777880,0,9392216,5000000,4392216
J & K,6704199,5616528,276509,851147,0,13448383,7000000,6448383
Karnataka,43989594,26428918,7617380,4711589,135,82747615,50000000,32747615
Kerala,9582288,11137247,12782282,8961293,3,42463113,25000000,17463113
Kolkata,5994154,10933395,4593122,1423628,0,22944299,18000000,4944299
Madhya Pradesh,18298313,49606122,12609315,5132531,0,85646281,50000000,35646281
Maharashtra,32250561,43941678,20636495,5338848,0,102167582,70000000,32167582
Mumbai,15942397,13337985,10842893,81887,48,40205210,38000000,2205210
North East,6724753,4656859,595310,1296967,0,13273889,7000000,6273889
Odisha,13309058,17826738,1521363,5500943,0,38158102,20000000,18158102
Punjab,14145393,11681843,5633877,4098495,5,35559618,22000000,13559618
Rajasthan,25919581,27741623,8381177,5739342,36,67781759,40000000,27781759
Tamil Nadu,33196496,25015812,14319339,7982319,0,80513966,50000000,30513966
U.P. (East),41112752,44076149,15881819,8460576,0,109531696,60000000,49531696
U.P. (West),22650740,25926452,12486372,5178467,0,66242031,40000000,26242031
West Bengal,18897474,26029005,10290794,2644149,4,57861426,35000000,22861426
